Title,Start,End,Mark,URL
Holiday,9/5/2016 8:00:00,9/5/2016 10:00:00,Info,
HW #1 Due,9/12/2016 10:00:00,9/12/2016 10:01:00,Warning,
HW #2 Due,9/26/2016 10:00:00,9/26/16 10:01:00,Warning,
HW #3 Due,10/3/2016 10:00:00,10/3/16 10:01:00,Warning,
Prog #1 Due,10/10/2016 10:00:00,10/10/16 10:01:00,Important,
Online QUIZ,10/15/2016 7:00:00,10/16/2016 6:59:00,Important,
Review MIDTERM,10/17/2016 10:00:00,10/17/16 10:01:00,Success,
MIDTERM,10/19/2016 10:00:00,10/19/16 10:01:00,Special,
HW #4 Due,10/31/2016 10:00:00,10/31/16 10:01:00,Warning,
Prog #2 Due,11/14/2016 10:00:00,11/14/16 10:01:00,Important,
Thanksgiving break,11/21/2016 8:00:00,11/25/2016 23:59:00,Info,
HW #5 Due,11/30/2016 10:00:00,11/30/16 10:01:00,Warning,
Online QUIZ,12/3/2016 7:00:00,12/4/2016 6:59:00,Important,
Review FINAL,12/7/2016 14:30:00,12/7/16 14:31 PM,Success,
FINAL EXAM,12/12/2016 12:00:00,12/14/2016 13:50 PM,Special,
