Title,Start,End,Mark,URL
HW #1 Due (335-02),2/9/16 19:00,2/9/16 19:01 PM,Warning,
Holiday,2/15/16 8:00,2/15/16 23:59,Info,
HW #2 Due (335-02),2/16/16 19:00,2/16/16 19:01 PM,Warning,
Prog #1 Due (335-02),2/23/16 19:00,2/23/16 19:01 PM,Important,
HW #3 Due (335-02),3/1/16 19:00,3/1/16 19:01 PM,Warning,
HW #4 Due (335-02),3/10/16 19:00,3/10/16 19:01 PM,Warning,
Prog #2 Due (335-02),3/20/16 19:00,3/20/16 19:01 PM,Important,
Review MIDTERM (335-02),3/22/16 19:00,3/22/16 20:15 PM,Success,
MIDTERM (335-02),3/24/16 19:00,3/24/16 20:15 PM,Special,
Spring break,3/28/16 8:00,4/1/16 23:59,Info,
HW #5 Due (335-02),4/5/16 19:00,4/5/16 19:01 PM,Warning,
HW #6 Due (335-02),4/12/16 19:00,4/12/16 19:01 PM,Warning,
Prog #3 Due (335-02),4/19/16 19:00,4/19/16 19:01 PM,Important,
HW #7 Due (335-02),4/26/16 19:00,4/26/16 19:01 PM,Warning,
HW #8 Due (335-02),5/3/16 19:00,5/3/16 19:01 PM,Warning,
Prog #4 Due (335-02),5/10/16 19:00,5/10/16 19:01 PM,Important,
Review FINAL (335-02),5/12/16 19:00,5/12/16 20:15 PM,Success,
FINAL EXAM (335-02),5/17/16 19:30,5/17/16 21:20,Special,
