Title,Start,End,Mark,URL
Holiday,9/4/2017 8:00:00,9/4/2017 10:00:00,Info,
HW #1 Due ,9/6/2017 8:30:00,9/6/2017 8:31:00,Warning,
HW #2 Due ,9/18/2017 8:30:00,9/18/17 8:31:00,Warning,
Prog #1 Due ,10/4/2017 8:30:00,10/4/17 8:31:00,Important,
HW #3 Due,10/11/2017 8:30:00,10/11/17 8:31:00,Warning,
Online QUIZ,10/14/2017 7:00:00,10/15/2017 6:59:00,Important,
Review MIDTERM,10/16/2017 8:30:00,10/16/17 8:31:00,Success,
MIDTERM,10/18/2017 8:30:00,10/18/17 8:31:00,Special,
Prog #2 Due,12/2/2017 8:00:00,12/2/17 8:01:00,Important,
Thanksgiving break,11/20/2017 8:00:00,11/26/2017 23:59:00,Info,
Online QUIZ,12/2/2017 7:00:00,12/3/2017 6:59:00,Important,
Review FINAL,12/6/2017 8:30:00,12/6/17 8:31 AM,Success,
FINAL EXAM,12/13/2017 9:30:00,12/13/2017 11:20 AM,Special,
