Title,Start,End,Mark,URL
HW #1 Due ,2/7/17 20:00,2/7/17 20:01,Warning,
HW #2 Due ,2/14/17 20:00,2/14/2017  20:01 PM,Warning,
Prog #1 Due ,2/21/17 20:00,2/21/17 20:01,Important,
HW #3 Due,2/28/17 20:00,2/28/17 20:01,Warning,
HW #4 Due,3/7/17 20:00,3/7/17 20:01,Warning,
Prog #2 Due,3/14/17 20:00,3/14/17 20:01,Important,
Online QUIZ,3/18/17 7:00,3/19/17 6:59,Important,
Review MIDTERM,3/21/17 20:00,3/21/2017 20:01 PM,Success,
MIDTERM,3/23/17 16:00,3/23/2017 20:01 PM,Special,
Spring Recess,3/28/17 8:00,4/1/17 23:59,Info,
Prog #3 Due,4/4/17 16:00,4/4/2017 20:01 PM,Important,
HW #5 Due,4/11/17 16:00,4/11/2017 20:01 PM,Warning,
HW #6 Due,4/18/17 16:00,4/18/2017 20:01 PM,Warning,
HW #7 Due,4/25/17 16:00,4/25/2017 20:01 PM,Warning,
Prog #4 Due,5/2/17 16:00,5/2/17 20:01 PM,Important,
Online QUIZ,5/6/17 7:00,5/7/17 6:59,Important,
HW #8 Due,5/9/17 16:00,5/9/2017 20:01 PM,Warning,
Review FINAL,5/11/17 16:00,5/11/2017 20:01 PM,Success,
FINAL EXAM,5/16/17 19:30,5/16/17 21:20,Special,
