Title,Start,End,Mark,URL
,,,,
HW #1 Due ,2/3/2021 8:30:00,2/3/2021 8:31:00,Warning,
HW #2 Due ,2/10/2021 8:30:00,2/10/2021 8:31:00,Warning,
Holiday,2/15/2021 8:00:00,2/15/2021 23:00:00,Info,
HW #3 Due ,2/24/2021 8:30:00,2/24/21 8:31:00,Warning,
HW #4 Due,3/3/2021 8:30:00,3/3/21 8:31:00,Warning,
Prog #1 Due ,3/5/2021 8:59:00,3/5/21 11:59:01,Important,
Online QUIZ 1,3/6/2021 0:00:00,3/6/2021 23:59:00,Important,
Review MIDTERM 1,3/8/2021 8:30:00,3/8/21 8:31:00,Success,
MIDTERM 1,3/10/2021 8:30:00,3/10/21 8:31:00,Special,
HW #5 Due,3/24/2021 8:30:00,03/24/21 8:31:00,Warning,
Spring break,3/27/2021 8:00:00,4/4/2021 23:59:00,Info,
HW #6 Due,4/12/2021 8:30:00,4/12/21 8:31:00,Warning,
Online QUIZ 2,4/17/2021 0:00:00,4/17/2021 23:59:00,Important,
Review MIDTERM 2,4/19/2021 8:30:00,4/19/21 8:31:00,Success,
MIDTERM 2,4/21/2021 8:30:00,4/21/21 8:31:00,Special,
HW #7 Due,5/3/2021 8:30:00,5/3/21 8:31:00,Warning,
Online QUIZ 3,5/8/2021 0:00:00,5/8/2021 23:59:00,Important,
HW #8 Due,5/10/2021 8:30:00,5/10/21 8:31:00,Warning,
Review FINAL,5/12/2021 8:30:00,5/12/21 8:31:00,Success,
Prog #2 Due,5/12/2021 0:00:00,5/12/21 23:59:01,Important,
FINAL EXAM,5/19/2021 9:00:00,5/19/2021 10:50:00,Special,
