Title,Start,End,Mark,URL
Holiday,1/21/2019 8:00:00,1/21/2019 23:00:00,Info,
HW #1 Due,1/31/2019 23:59:00,1/31/2019 23:59:01,Warning,
HW #2 Due,2/11/2019 16:00:00,2/11/19 16:01:00,Warning,
Prog #1 Due,2/18/2019 23:59:00,2/18/19 23:59:01,Important,
HW #3 Due,2/20/2019 16:00:00,2/20/19 16:01:00,Warning,
HW #4 Due,2/27/2019 23:59:00,2/27/2019 23:59:01,Warning,
Prog #2 Due,3/4/2019 23:59:00,3/4/19 23:59:01,Important,
HW #5 Due,3/7/2019 16:00:00,3/7/19 16:01:00,Warning,
Review MIDTERM,3/18/2019 16:00:00,3/18/19 16:01:00,Success,
MIDTERM,3/20/2019 16:00:00,3/20/19 16:01:00,Special,
Review FINAL,5/8/2019 16:00:00,5/8/19 16:01:00,Success,
FINAL EXAM,5/15/2019 17:00:00,5/15/2019 18:50:00,Special,
