Title,Start,End,Mark,URL
HW #1 Due ,9/2/2021 8:30:00,9/2/2021 8:31:59,Warning,
Online QUIZ 1,9/4/2021 7:00:00,9/4/2021 7:31:59,Important,
Holiday,9/6/2021 8:00:00,9/6/2021 23:59:59 PM,Info,
HW #2 Due ,9/9/2021 8:30:00,9/9/2021 8:31:59,Warning,
Online QUIZ 2,9/11/2021 0:00:00,9/11/2021 23:59:59,Important,
HW #3 Due,9/16/2021 8:30:00,9/16/2021 8:31:59,Warning,
Online QUIZ 3,9/18/2021 0:00:00,9/18/2021 23:59:00,Important,
Prog #1 Due ,9/24/2021 0:00:00,9/24/2021 23:59:00,Important,
Online QUIZ 4,9/25/2021 0:00:00,9/25/2021 23:59:00,Important,
HW #4 Due,9/30/2021 8:30:00,9/30/2021 8:31:59,Warning,
Online QUIZ 5,10/2/2021 0:00:00,10/2/2021 23:59:00,Important,
HW #5 Due,10/7/2021 8:30:00,10/7/2021 8:31:59,Warning,
Online QUIZ 6,10/9/2021 0:00:00,10/9/2021 23:59:00,Important,
HW #6 Due,10/14/2021 8:30:00,10/14/2021 8:31:59,Warning,
Prog #2 Due,10/15/2021 0:00:00,10/15/2021 23:59:00,Important,
Online QUIZ 7,10/16/2021 0:00:00,10/16/2021 23:59:00,Important,
Review MIDTERM,10/18/2021 14:30:00,10/18/2021 14:31 PM,Success,
MIDTERM,10/20/2021 14:30:00,10/20/21 14:31 PM,Special,
HW #7 Due,10/28/2021 8:30:00,10/28/2021 8:31:59,Warning,
Online QUIZ 8,10/30/2021 0:00:00,10/30/2021 23:59:00,Important,
HW #8 Due,11/4/2021 8:30:00,11/4/2021 8:31:59,Warning,
Online QUIZ 9,11/6/2021 0:00:00,11/6/2021 23:59:00,Important,
HW #9 Due,11/11/2021 8:30:00,11/11/2021 8:31:59,Warning,
Online QUIZ 10,11/13/2021 0:00:00,11/13/2021 23:59:00,Important,
Prog #3 Due,11/19/2021 23:59:00,11/19/2021 23:59:59,Important,
Online QUIZ 11,11/20/2021 0:00:00,11/20/2021 23:59:00,Important,
Thanksgiving break,11/21/2021 8:00:00,11/26/2021 23:59:00,Info,
HW #10 Due,12/2/2021 8:30:00,12/2/2021 8:31:59,Warning,
Online QUIZ 12,12/4/2021 0:00:00,12/4/2021 23:59:00,Important,
Review FINAL,12/8/2021 14:30:00,12/8/21 14:31 PM,Success,
HW #11,12/9/2021 8:30:00,12/9/2021 8:31:59,Warning,
FINAL EXAM,12/15/2021 15:00:00,12/15/2021 15:01:00,Special,
Prog #4 Due,12/17/2021 23:59:00,12/17/2021 23:59:59,Important,
