Title,Start,End,Mark,URL
HW #1 Due ,2/3/2021 11:30:00,2/3/2021 11:31:00,Warning,
Holiday,2/15/2021 8:00:00,2/15/2021 23:00:00,Info,
HW #2 Due ,2/17/2021 11:30:00,2/17/2021 11:31:00,Warning,
HW #3 Due,2/24/2021 11:30:00,2/24/21 11:31:00,Warning,
HW #4 Due,3/15/2021 11:30:00,03/15/21 11:31:00,Warning,
Review MIDTERM,3/17/2021 11:30:00,3/17/21 11:31:00,Success,
Prog #1 Due ,3/19/2021 0:00:00,3/19/20 23:59:01,Important,
Online QUIZ,3/20/2021 0:00:00,3/20/2021 23:59:00,Important,
MIDTERM,3/22/2021 11:30:00,3/22/21 11:31:00,Special,
Spring break,3/27/2021 8:00:00,4/4/2021 23:59:00,Info,
HW #5 Due,4/7/2021 11:30:00,4/7/21 11:31:00,Warning,
Online QUIZ 2,5/8/2021 0:00:00,5/8/2021 23:59:00,Important,
HW #6 Due,4/21/2021 11:30:00,4/21/21 11:31:00,Warning,
Review FINAL,5/12/2021 11:30:00,5/12/21 11:31:00,Success,
Prog #2 Due,5/14/2021 0:59:00,5/14/21 23:59:01,Important,
FINAL EXAM,5/19/2021 11:00:00,5/19/2021 12:50:00,Special,
